# started on Tue Nov 15 00:38:47 2022

708.60,msec,task-clock,708595893,100.00,0.999,CPUs utilized
7,,context-switches,708595893,100.00,9.879,/sec
2,,cpu-migrations,708595893,100.00,2.822,/sec
49275,,page-faults,708595893,100.00,69.539,K/sec
2037033689,,cycles,209946156,29.65,2.875,GHz
3857757902,,instructions,265882982,37.55,1.89,insn per cycle
427864761,,branches,269826360,38.10,603.821,M/sec
1032880,,branch-misses,273828766,38.67,0.24,of all branches
763648116,,L1-dcache-loads,277817284,39.23,1.078,G/sec
48085709,,L1-dcache-load-misses,279699793,39.50,6.30,of all L1-dcache accesses
13469596,,LLC-loads,223994815,31.63,19.009,M/sec
9811234,,LLC-load-misses,223794562,31.60,72.84,of all LL-cache accesses
<not supported>,,L1-icache-loads,0,100.00,,
151002,,L1-icache-load-misses,222452635,31.41,,
804933824,,dTLB-loads,218472475,30.85,1.136,G/sec
146691,,dTLB-load-misses,214297249,30.26,0.02,of all dTLB cache accesses
2082,,iTLB-loads,210495096,29.73,2.938,K/sec
88756,,iTLB-load-misses,207848505,29.35,4263.02,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0,100.00,,
