# started on Tue Nov 15 00:39:21 2022

582.25,msec,task-clock,582245744,100.00,0.999,CPUs utilized
4,,context-switches,582245744,100.00,6.870,/sec
1,,cpu-migrations,582245744,100.00,1.717,/sec
49273,,page-faults,582245744,100.00,84.626,K/sec
1672677357,,cycles,177066919,30.43,2.873,GHz
3701145153,,instructions,225024708,38.67,2.21,insn per cycle
404458155,,branches,229125439,39.38,694.652,M/sec
913835,,branch-misses,230167528,39.56,0.23,of all branches
711295345,,L1-dcache-loads,230170497,39.56,1.222,G/sec
40487737,,L1-dcache-load-misses,228944641,39.35,5.69,of all L1-dcache accesses
3801905,,LLC-loads,176887640,30.40,6.530,M/sec
1514038,,LLC-load-misses,175835932,30.22,39.82,of all LL-cache accesses
<not supported>,,L1-icache-loads,0,100.00,,
211999,,L1-icache-load-misses,175833788,30.22,,
643152380,,dTLB-loads,175855853,30.22,1.105,G/sec
162051,,dTLB-load-misses,175854334,30.22,0.03,of all dTLB cache accesses
1574,,iTLB-loads,175863953,30.22,2.703,K/sec
99338,,iTLB-load-misses,175863128,30.22,6311.18,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0,100.00,,
