# started on Tue Nov 15 00:35:20 2022

816.71,msec,task-clock,0.90%,816711674,100.00,1.005,CPUs utilized
7,,context-switches,8.11%,816711674,100.00,8.615,/sec
0,,cpu-migrations,0.00%,816711674,100.00,0.000,/sec
49275,,page-faults,0.00%,816711674,100.00,60.643,K/sec
2350559347,,cycles,0.83%,242423595,29.70,2.893,GHz
4402956433,,instructions,0.57%,306355547,37.54,1.90,insn per cycle
581695368,,branches,0.46%,310408979,38.03,715.897,M/sec
1269527,,branch-misses,0.52%,314441739,38.53,0.23,of all branches
755133218,,L1-dcache-loads,0.27%,318451869,39.02,929.348,M/sec
44932990,,L1-dcache-load-misses,1.37%,319747725,39.18,5.86,of all L1-dcache accesses
12992072,,LLC-loads,1.65%,255763354,31.34,15.989,M/sec
9217968,,LLC-load-misses,2.26%,255829474,31.34,79.30,of all LL-cache accesses
<not supported>,,L1-icache-loads,0.00%,0,100.00,,
191538,,L1-icache-load-misses,3.89%,255812673,31.34,,
748778389,,dTLB-loads,0.27%,254012586,31.12,921.527,M/sec
186613,,dTLB-load-misses,1.13%,250011573,30.63,0.02,of all dTLB cache accesses
3614,,iTLB-loads,45.68%,245912693,30.13,4.448,K/sec
119685,,iTLB-load-misses,5.59%,241919364,29.64,1836.03,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0.00%,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0.00%,0,100.00,,
