# started on Tue Nov 15 00:34:33 2022

695.23,msec,task-clock,695234951,100.00,0.999,CPUs utilized
7,,context-switches,695234951,100.00,10.069,/sec
2,,cpu-migrations,695234951,100.00,2.877,/sec
49276,,page-faults,695234951,100.00,70.877,K/sec
1960238622,,cycles,210623572,30.32,2.820,GHz
4137780562,,instructions,266565534,38.37,2.11,insn per cycle
565650221,,branches,270566962,38.94,813.610,M/sec
1363724,,branch-misses,274581986,39.52,0.24,of all branches
792100351,,L1-dcache-loads,278578965,40.10,1.139,G/sec
35966162,,L1-dcache-load-misses,276320056,39.77,4.54,of all L1-dcache accesses
2937159,,LLC-loads,216382680,31.14,4.225,M/sec
1512743,,LLC-load-misses,212389959,30.57,51.50,of all LL-cache accesses
<not supported>,,L1-icache-loads,0,100.00,,
208209,,L1-icache-load-misses,208380003,29.99,,
730782669,,dTLB-loads,207823163,29.91,1.051,G/sec
236244,,dTLB-load-misses,207817149,29.91,0.03,of all dTLB cache accesses
2831,,iTLB-loads,207794846,29.91,4.072,K/sec
114475,,iTLB-load-misses,207807823,29.91,4043.62,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0,100.00,,
