# started on Sun Oct 30 16:08:42 2022

1901.92,msec,task-clock,0.61%,1901916374,100.00,0.966,CPUs utilized
157,,context-switches,30.65%,1901916374,100.00,80.675,/sec
2,,cpu-migrations,129.42%,1901916374,100.00,1.028,/sec
65666,,page-faults,0.00%,1901916374,100.00,33.743,K/sec
5291591184,,cycles,0.60%,727101733,38.25,2.719,GHz
9086498484,,instructions,0.32%,874753880,46.02,1.68,insn per cycle
459700151,,branches,0.47%,874727095,46.02,236.219,M/sec
6637404,,branch-misses,2.13%,877015992,46.14,1.43,of all branches
3995987565,,L1-dcache-loads,0.28%,876950924,46.14,2.053,G/sec
57998403,,L1-dcache-load-misses,0.95%,882007370,46.40,1.44,of all L1-dcache accesses
2839989,,LLC-loads,1.75%,589101895,30.99,1.459,M/sec
1150144,,LLC-load-misses,2.43%,589503022,31.01,41.42,of all LL-cache accesses
<not supported>,,L1-icache-loads,0.00%,0,100.00,,
4992296,,L1-icache-load-misses,5.71%,585749370,30.82,,
4154595737,,dTLB-loads,0.36%,584513698,30.75,2.135,G/sec
425835,,dTLB-load-misses,1.96%,580528629,30.54,0.01,of all dTLB cache accesses
168301,,iTLB-loads,3.44%,581177112,30.58,86.482,K/sec
114466,,iTLB-load-misses,1.47%,581609001,30.60,58.69,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0.00%,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0.00%,0,100.00,,
