# started on Tue Nov  8 11:37:16 2022

1578.86,msec,task-clock,0.59%,1578861602,100.00,0.996,CPUs utilized
29,,context-switches,8.52%,1578861602,100.00,18.307,/sec
5,,cpu-migrations,8.75%,1578861602,100.00,3.156,/sec
65666,,page-faults,0.00%,1578861602,100.00,41.453,K/sec
5483169283,,cycles,0.46%,599760139,38.00,3.461,GHz
8879762047,,instructions,0.16%,723667023,45.86,1.61,insn per cycle
444117498,,branches,0.45%,727635535,46.11,280.356,M/sec
2446238,,branch-misses,3.81%,731715760,46.37,0.54,of all branches
4046444812,,L1-dcache-loads,0.18%,735691646,46.62,2.554,G/sec
48579789,,L1-dcache-load-misses,0.59%,738813360,46.81,1.20,of all L1-dcache accesses
16955973,,LLC-loads,1.04%,490763411,31.10,10.704,M/sec
8988955,,LLC-load-misses,0.65%,486733906,30.84,54.23,of all LL-cache accesses
<not supported>,,L1-icache-loads,0.00%,0,100.00,,
1307351,,L1-icache-load-misses,14.41%,482766886,30.59,,
4104564762,,dTLB-loads,0.29%,479708287,30.40,2.591,G/sec
443093,,dTLB-load-misses,0.91%,479638045,30.39,0.01,of all dTLB cache accesses
235316,,iTLB-loads,2.57%,479618702,30.39,148.547,K/sec
136696,,iTLB-load-misses,1.84%,479557342,30.39,73.60,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0.00%,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0.00%,0,100.00,,
