# started on Tue Nov  8 11:39:38 2022

488.77,msec,task-clock,488769891,100.00,0.999,CPUs utilized
14,,context-switches,488769891,100.00,28.643,/sec
2,,cpu-migrations,488769891,100.00,4.092,/sec
49271,,page-faults,488769891,100.00,100.806,K/sec
1700681301,,cycles,179840281,36.81,3.480,GHz
3550002940,,instructions,219768790,44.99,2.09,insn per cycle
365889326,,branches,227685237,46.61,748.592,M/sec
1099054,,branch-misses,231677906,47.43,0.30,of all branches
795288298,,L1-dcache-loads,235677636,48.24,1.627,G/sec
37965936,,L1-dcache-load-misses,236695845,48.45,4.77,of all L1-dcache accesses
3900118,,LLC-loads,152908783,31.30,7.979,M/sec
1135205,,LLC-load-misses,148921328,30.48,29.11,of all LL-cache accesses
<not supported>,,L1-icache-loads,0,100.00,,
761461,,L1-icache-load-misses,144920305,29.67,,
698825038,,dTLB-loads,143894595,29.46,1.430,G/sec
251701,,dTLB-load-misses,143895867,29.46,0.04,of all dTLB cache accesses
1673,,iTLB-loads,143885849,29.45,3.423,K/sec
101866,,iTLB-load-misses,143888437,29.45,6088.82,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0,100.00,,
