# started on Tue Nov  1 12:33:39 2022

2083.54,msec,task-clock,0.04%,2083535777,100.00,0.998,CPUs utilized
20,,context-switches,5.37%,2083535777,100.00,9.590,/sec
0,,cpu-migrations,0.00%,2083535777,100.00,0.000,/sec
49272,,page-faults,0.00%,2083535777,100.00,23.626,K/sec
3719227024,,cycles,0.04%,272246220,13.08,1.783,GHz
3556633183,,instructions,0.19%,412167515,19.80,0.96,insn per cycle
357873668,,branches,0.19%,416150300,19.99,171.603,M/sec
1402254,,branch-misses,0.52%,419600863,20.15,0.39,of all branches
973124337,,L1-dcache-loads,0.34%,279706410,13.43,466.621,M/sec
92970167,,L1-dcache-load-misses,0.97%,279749552,13.44,9.36,of all L1-dcache accesses
26668065,,LLC-loads,1.33%,279625284,13.43,12.788,M/sec
5616795,,LLC-load-misses,0.61%,279697893,13.43,20.34,of all LL-cache accesses
3623779853,,L1-icache-loads,0.03%,280077072,13.45,1.738,G/sec
630788,,L1-icache-load-misses,1.40%,279922791,13.44,0.02,of all L1-icache accesses
1021464746,,dTLB-loads,0.18%,280118007,13.45,489.801,M/sec
11567569,,dTLB-load-misses,2.88%,279202594,13.41,1.14,of all dTLB cache accesses
3774535443,,iTLB-loads,0.34%,415042897,19.93,1.810,G/sec
125418,,iTLB-load-misses,0.18%,410590974,19.72,0.00,of all iTLB cache accesses
0,,L1-dcache-prefetches,0.00%,407603406,19.58,0.000,/sec
<not supported>,,L1-dcache-prefetch-misses,0.00%,0,100.00,,
