# started on Tue Nov 22 00:17:19 2022

17801505,,mem_load_retired.l1_miss,112082801,19.80,,
7543850,,mem_load_retired.l2_miss,116078625,20.51,,
5252658,,mem_load_retired.l3_miss,120066132,21.21,,
232,,l2_rqsts.all_pf,124062219,21.92,,
8,,l2_rqsts.pf_hit,127925973,22.60,,
53186910,,l2_rqsts.references,127909688,22.60,,
416205151,,branches,127906775,22.60,,
1176834,,branch-misses,127903264,22.60,0.28,of all branches
2077903514,,cycles,127881370,22.59,,
3366653568,,instructions,158152830,27.94,1.62,insn per cycle
698157665,,L1-dcache-loads,154170951,27.24,,
48307809,,L1-dcache-load-misses,150144197,26.53,6.92,of all L1-dcache accesses
19223931,,LLC-loads,146150599,25.82,,
10351297,,LLC-load-misses,142154432,25.12,53.85,of all LL-cache accesses
<not supported>,,L1-icache-loads,0,100.00,,
194012,,L1-icache-load-misses,111884804,19.77,,
696523088,,dTLB-loads,111925955,19.77,,
608269,,dTLB-load-misses,111926990,19.77,0.09,of all dTLB cache accesses
150728,,iTLB-loads,111930233,19.78,,
64807,,iTLB-load-misses,111930728,19.78,43.00,of all iTLB cache accesses
<not supported>,,L1-dcache-prefetches,0,100.00,,
<not supported>,,L1-dcache-prefetch-misses,0,100.00,,
